cell	flows
GSM1112596_C57twocell_16-2	26.038539281595543
t	15.796475523150711
GSM1112603_early2cell_0r-1	1.037037037037036
GSM1112766_zy1	25.43463713798751
s	15.796475523150711
GSM1112606_early2cell_1-2	1.04
GSM1112607_early2cell_2-1	1.7499999999999991
GSM1112604_early2cell_0r-2	1.846153846153845
GSM1112599_C57twocell_20-1	2.294117647058823
GSM1112595_C57twocell_16-1	2.294117647058823
GSM1112602_C57twocell_22-2	1.4636363636363638
GSM1112601_C57twocell_22-1	1.4636363636363638
GSM1112768_zy3	4.331550802139035
GSM1112769_zy4	2.3406417112299485
GSM1112605_early2cell_1-1	4.776122428296342
GSM1112767_zy2	2.1818181818181808
GSM1112597_C57twocell_18-1	2.625
GSM1112598_C57twocell_18-2	2.625
GSM1112600_C57twocell_20-2	2.6249999999999996
GSM1112608_early2cell_2-2	1.6503351436855302
GSM1112609_early2cell_3-1	0.91919191919192
GSM1112610_early2cell_3-2	1.555555555555556
