
from	to	edge_flow
GSM1112596_C57twocell_16-2	t	15.796475523150711
GSM1112603_early2cell_0r-1	GSM1112596_C57twocell_16-2	0.518518518518518
GSM1112606_early2cell_1-2	GSM1112596_C57twocell_16-2	0.52
GSM1112607_early2cell_2-1	GSM1112596_C57twocell_16-2	0.565217391304348
GSM1112604_early2cell_0r-2	GSM1112596_C57twocell_16-2	0.538461538461538
GSM1112599_C57twocell_20-1	GSM1112596_C57twocell_16-2	0.764705882352941
GSM1112595_C57twocell_16-1	GSM1112596_C57twocell_16-2	0.764705882352941
GSM1112602_C57twocell_22-2	GSM1112596_C57twocell_16-2	0.7
GSM1112601_C57twocell_22-1	GSM1112596_C57twocell_16-2	0.7
GSM1112768_zy3	GSM1112596_C57twocell_16-2	0.636363636363636
GSM1112769_zy4	GSM1112596_C57twocell_16-2	0.636363636363636
GSM1112605_early2cell_1-1	GSM1112596_C57twocell_16-2	0.636363636363636
GSM1112767_zy2	GSM1112596_C57twocell_16-2	0.636363636363636
GSM1112597_C57twocell_18-1	GSM1112596_C57twocell_16-2	0.875
GSM1112598_C57twocell_18-2	GSM1112596_C57twocell_16-2	0.875
GSM1112600_C57twocell_20-2	GSM1112596_C57twocell_16-2	0.875
GSM1112766_zy1	GSM1112603_early2cell_0r-1	0.518518518518518
s	GSM1112766_zy1	15.796475523150711
GSM1112766_zy1	GSM1112606_early2cell_1-2	0.52
GSM1112766_zy1	GSM1112607_early2cell_2-1	0.583333333333333
GSM1112766_zy1	GSM1112604_early2cell_0r-2	0.615384615384615
GSM1112766_zy1	GSM1112599_C57twocell_20-1	0.454545454545455
GSM1112766_zy1	GSM1112595_C57twocell_16-1	0.454545454545455
GSM1112766_zy1	GSM1112602_C57twocell_22-2	0.636363636363636
GSM1112766_zy1	GSM1112601_C57twocell_22-1	0.636363636363636
GSM1112766_zy1	GSM1112768_zy3	0.727272727272727
GSM1112766_zy1	GSM1112769_zy4	0.727272727272727
GSM1112766_zy1	GSM1112605_early2cell_1-1	0.727272727272727
GSM1112766_zy1	GSM1112767_zy2	0.727272727272727
GSM1112766_zy1	GSM1112608_early2cell_2-2	0.7544605011356941
GSM1112766_zy1	GSM1112609_early2cell_3-1	0.777777777777778
GSM1112766_zy1	GSM1112610_early2cell_3-2	0.777777777777778
GSM1112607_early2cell_2-1	GSM1112597_C57twocell_18-1	0.036231884057970065
GSM1112607_early2cell_2-1	GSM1112600_C57twocell_20-2	0.565217391304348
GSM1112604_early2cell_0r-2	GSM1112600_C57twocell_20-2	0.15384615384615397
GSM1112604_early2cell_0r-2	GSM1112597_C57twocell_18-1	0.538461538461538
GSM1112605_early2cell_1-1	GSM1112599_C57twocell_20-1	0.636363636363636
GSM1112768_zy3	GSM1112599_C57twocell_20-1	0.43850267379679103
GSM1112769_zy4	GSM1112595_C57twocell_16-1	0.07941176470588396
GSM1112605_early2cell_1-1	GSM1112595_C57twocell_16-1	0.636363636363636
GSM1112768_zy3	GSM1112595_C57twocell_16-1	0.359090909090907
GSM1112769_zy4	GSM1112602_C57twocell_22-2	0.03636363636363693
GSM1112605_early2cell_1-1	GSM1112602_C57twocell_22-2	0.09090909090909094
GSM1112769_zy4	GSM1112601_C57twocell_22-1	0.12727272727272787
GSM1112768_zy3	GSM1112598_C57twocell_18-2	0.4590909090909109
GSM1112768_zy3	GSM1112600_C57twocell_20-2	0.636363636363636
GSM1112610_early2cell_3-2	GSM1112768_zy3	0.43850267379679103
GSM1112608_early2cell_2-2	GSM1112768_zy3	0.636363636363636
GSM1112769_zy4	GSM1112598_C57twocell_18-2	0.018181818181817078
GSM1112608_early2cell_2-2	GSM1112769_zy4	0.07941176470588396
GSM1112769_zy4	GSM1112597_C57twocell_18-1	0.636363636363636
GSM1112605_early2cell_1-1	GSM1112597_C57twocell_18-1	0.35712475929867404
GSM1112605_early2cell_1-1	GSM1112598_C57twocell_18-2	0.636363636363636
GSM1112609_early2cell_3-1	GSM1112605_early2cell_1-1	0.141414141414142
GSM1112608_early2cell_2-2	GSM1112605_early2cell_1-1	0.18009924148031614
GSM1112610_early2cell_3-2	GSM1112605_early2cell_1-1	0.339275103980987
GSM1112605_early2cell_1-1	GSM1112600_C57twocell_20-2	0.394572818485862
GSM1112767_zy2	GSM1112597_C57twocell_18-1	0.18181818181818188
GSM1112767_zy2	GSM1112598_C57twocell_18-2	0.636363636363636
